ID da notícia|Sumário gerado|Similaridade
01|Mas existe uma abordagem que é uma espécie de caminho do meio entre as duas pontas deste espectro: a parentalidade positiva, que rejeita tanto a punição quanto a permissividade e pressupõe que a criança pode ter um grau de autonomia e participar da tomada de algumas decisões, dentro do que é adequado para sua idade, do contexto familiar e de limites respeitosos.A Última Criança na Natureza, cunhou o termo Transtorno do Déficit de Natureza para descrever o fenômeno bastante contemporâneo que é a falta de acesso a espaços livres e naturais, que permitam o livre brincar e o contato com a natureza.Isso é realmente devastador, porque esses pais se centraram em um modelo de obediência de regras, entendendo que o carinho poderia danificar seus filhos, sem saber que a moralidade acontece através da fundação de uma relação.De acordo com a entidade, crianças de até 5 anos não devem passar mais de 60 minutos por dia em atividades passivas diante de uma tela de celular, computador ou TV.|0.7230965394665257
02|"O estudo argumenta que uma alimentação mais à base de frutas, vegetais, grãos e oleaginosas e menos voltada para a proteína animal, particularmente gado ruminante, ""pode melhorar a saúde humana e reduzir significativamente as emissões de gases do efeito estufa"", diz o texto, agregando que práticas mais eficientes de cultivo e colheita e redução da ""enorme quantidade de desperdício de comida"" também são vitais.5."|0.6340687182377374
03|O reconhecimento de que, na verdade, ele era um adolescente (Tutancâmon morreu aos 19 anos) surgiu alguns anos após a descoberta da tumba: as escavações de Carter só chegaram ao corpo de Tutancâmon em 1925, quando ele abriu o primeiro de uma série de caixões que revelavam a máscara funerária de ouro do rei e, algum tempo depois, seu frágil corpo fraturado.Para arrecadar dinheiro para financiar o complexo processo de escavação, preservação e catalogação das riquezas da tumba, lorde Carnarvon assinou um contrato de exclusividade com o jornal londrino The Times, concedendo ao periódico o direito de publicar em primeira mão notícias e fotografias sobre o que fosse encontrado.|0.8669131068518261
04|"Com amostras de sangue de 77 crianças, pesquisadores da Escola Médica de Harvard conseguiram fazer um retrato incrivelmente detalhado disso usando uma ferramenta chamada VirScan — que é como uma vara de pescar altamente tecnológica com a capacidade de pegar milhares de tipos diferentes de anticorpos correndo em nosos corpo.O sarampo consegue pressionar o ""botão de reinicialização"", de modo que o sistema imunológico volta a ter apenas uma gama limitada de anticorpos para trabalhar."|0.7989932582742133
05|"A pesquisadora diz ainda que não tem certeza se os ratos aprenderam ""como atacar e comer os sapos com segurança ou se estão adotando uma estratégia de caça semelhante à que eles já usam para comer sapos nativos tóxicos""."|0.6151399970354148
06|Enquanto a Operação Tempestade de Areia se deparava com uma tempestade literal, com redemoinhos de areia reduzindo a visibilidade para 5 metros, o GPS permitiu com que soldados marcassem o local de minas, encontrassem o caminho de volta para fontes de água e evitassem ficar no caminho de outros soldados.O que aconteceria se os sistemas de GPS parassem de funcionar?Para começar, teríamos que usar nossos cérebros para prestar atenção para o mundo ao redor de nós quando fôssemos de A a B. Talvez isso não fosse algo ruim:|0.6044166082779561
07|O Google e a Apple disseram à BBC que esse tipo de prática não é permitida em suas lojas de aplicativos e que estão trabalhando com desenvolvedores de aplicativos para melhor prevenir atividades ilegais como esta em suas plataformas.O vendedor nunca respondeu ao pedido de entrevista da BBC.Desde que a equipe de reportagem entrou em contato com os aplicativos e as empresas de tecnologia sobre suas descobertas, a 4Sale removeu a seção de empregadas domésticas e o Facebook proibiu a hashtag #خادمات للتنازل (#empregadasàvenda).|0.7415124877288078
08|"E os chineses acessam um dos espaços online mais regulamentados do mundo, em que restrições a sites e serviços estrangeiros, a filtragem de conteúdo e leis rigorosas para empresas que operam na internet se combinam para formar o que é conhecido como o ""grande firewall da China""."" em que fez ""uma proposta de como podemos conectar os próximos cinco bilhões de pessoas"", com a ajuda de um consórcio de empresas de tecnologia batizado de Internet.org.As empresas podem prometer o mesmo, além de concordar em desenvolver tecnologias que ""apoiem o que há de melhor da humanidade e combatam o que há de pior""."|0.6124702147493609
09|"Os donos dizem que o complexo funciona com energia 100% renovável e afirmam que ele é uma ""sala de aula perfeita"" para ampliar a conscientização de questões ambientais como poluição por plástico e emissões de carbono."|0.4304523181052985
10|Crédito, Getty ImagesLegenda da foto, Gould depois de vencer sua longa batalha judicial pelos direitos sobre o laserEm 1977, 20 anos após o caderno de Gould ser registrado, o Escritório de Patentes dos EUA declarou que ele primeiro teve a primeira ideia de um tipo de laser, o que lhe dava o direito de cobrar royalties de todas as empresas que o fabricavam.Foram necessários 30 anos, muitas batalhas judiciais, milhões de dólares e uma luta épica com o governo dos Estado Unidos e a indústria do laser antes de alcançar o reconhecimento de uma das invenções mais revolucionárias do século 20.Uma dívida enormeO problema era que, se o que Gould alegava fosse declarado válido, todos os que haviam fabricado ou usado um laser anteriormente lhe seriam devedores.|0.6816205104818883
